"","State","stcd","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","Region","index"
"183","Maryland","MD-03",3,11.8092,"Dense Suburban",1,1,777611,0.508,119418,154016,40.2,0.1614239,0.29,0.019,"South",9
"184","Maryland","MD-06",6,11.05104,"Suburban-Exurban",1,1,792577,0.502,96041,126053,39.7,0.162129358,0.228,0.028,"South",9
"185","Maryland","MD-05",5,10.89787,"Suburban-Exurban",1,1,789972,0.5,121284,135099,38.8,0.151525624,0.233,0.028,"South",9
"186","Maryland","MD-07",7,12.91544,"Urban-Suburban",1,1,744504,0.532,56870,85174,36.8,0.163050837,0.172,0.033,"South",9
"187","Maryland","MD-01",1,10.11806,"Rural-Exurban",0,0,781695,0.503,87671,113507,42.2,0.198133543,0.202,0.02,"South",9
"188","Maryland","MD-04",4,12.67143,"Urban-Suburban",1,1,750800,0.524,86941,103631,37.9,0.145672616,0.191,0.035,"South",9
"189","Maryland","MD-08",8,12.69373,"Urban-Suburban",1,1,755348,0.51,123494,171443,41.6,0.187945159,0.278,0.022,"South",9
"190","Massachusetts","MA-01",1,11.06145,"Suburban-Exurban",1,1,772032,0.51,68956,96674,42.1,0.198863519,0.191,0.029,"Northeast",6
"191","Massachusetts","MA-03",3,11.50051,"Dense Suburban",1,1,781020,0.507,91476,129462,39.5,0.157051036,0.222,0.028,"Northeast",6
"192","Massachusetts","MA-08",8,12.42628,"Dense Suburban",1,1,773868,0.51,103758,153589,40.2,0.17861961,0.288,0.027,"Northeast",6
